phylum	class	order	family	subfamily	genus	subgenus	species	author_year
Mollusca	Paragastropoda	Mimospirida	Onychochilidae					Koken and Perner 1925
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Sinistriconcha			Heidelberger and Bandel 1999
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Sinistriconcha		minutissimus	(Yoo 1988)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Sinistriconcha		minutissima	(Yoo 1988)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Sinistriconcha		minutissimus	(Yoo 1988)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Sinistriconcha		lierli	Heidelberger and Bandel 1999
Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyrinae				Wenz 1938
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Versispira			Perner 1903
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Versispira		contraria	(Perner 1903)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Versispira		contraria	(Perner 1903)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra			Whitfield 1878
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra	Versispira		(Perner 1903)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra		elevata	Whitfield 1878
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra		ulrichi	(Kobayashi 1933)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra		ulrichi	(Kobayashi 1933)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra		obliqua	Whitfield 1878
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra		swezeyi	Whitfield 1878
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra		minnesotensis	Berkey 1898
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra		thompsoni	(Webers et al. 1992)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra		thompsoni	(Webers et al. 1992)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Scaevogyra		naticaformis	Kobayashi 1933
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Laeogyra			Perner 1903
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Laeogyra		bohemica	Perner 1903
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Laeogyra		gracile	(Koken 1897)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Laeogyra		gracilis	(Koken 1897)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Laeogyra		gracilis	(Koken 1897)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Laeogyra		gracilis	(Koken 1897)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Laeogyra		arvetensis	Wängberg-Eriksson 1979
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Pervertina			Horný 1964
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Sinistracirsa			Cossmann 1908
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Donaldia			Perner 1903
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Sinistracirsa		altera	(Perner 1903)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Sinistracirsa		altera	(Perner 1903)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Hyperstropheminae				Horný 1964
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Hyperstrophema			Horný 1964
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Hyperstrophema		devonicans	Horný 1964
Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Catalanispirinae				Ebbestad et al. 2021
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Catalanispira			Ebbestad et al. 2021
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Catalanispira		plattevillensis	Ebbestad et al. 2021
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Catalanispira		reinwaldti	(Öpik 1930)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Catalanispira		reinwaldti	(Öpik 1930)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Catalanispira		reinwaldti	(Öpik 1930)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Catalanispira		reinwaldti	(Öpik 1930)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Pelecyogyra			Ebbestad and Lefebvre 2015
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Pelecyogyra		fezouataensis	Ebbestad and Lefebvre 2015
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Voskopiella			Frýda 1992
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Voskopiella		barborae	Frýda 1992
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella			Walcott 1912
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella		antarctica	Webers et al. 1992
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella		lirata	(Whitfield 1886)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella		lirata	(Whitfield 1886)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella		saratogensis	(Walcott 1886)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella		saratogensis	(Walcott 1886)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella		saratogensis	(Walcott 1886)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella		saratogensis	(Walcott 1886)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Billingsia			Walcott 1886
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherellina			Kobayashi 1933
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella		walcotti	(Kobayashi 1933)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Matherella		walcotti	(Kobayashi 1933)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Onychochilinae				Koken and Perner 1925
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus			Lindström 1884
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		pervertens	(Perner 1903)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		pervertens	(Perner 1903)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		reversa	(Hall 1860)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		reversa	(Hall 1860)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		reversus	(Hall 1860)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		contrarium	(Lindström 1884)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		contrarium	(Lindström 1884)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Paleopupa			Foerste 1893
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Palaeopupa			Foerste 1893
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		abrupta	(Foerste 1893)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		abruptum	(Foerste 1893)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		sinistralis	(Rohr and Smith 1978)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		sinistralis	(Rohr and Smith 1978)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		reticulatum	(Lindström 1884)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		reticulatum	(Lindström 1884)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		physa	Lindström 1884
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		perversa	(Lindström 1884)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		perversa	(Lindström 1884)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilus		perversum	(Lindström 1884)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Antispira			Perner 1903
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Antispira		lamellifera	(Horný 1964)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Antispira		lamellifera	(Horný 1964)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Antispira		ferrigena	(Perner 1911)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Antispira		ferrigena	(Perner 1911)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Antispira		ferrigena	(Perner 1911)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Antispira		praecox	Perner 1903
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Invertospira			Horný 1964
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Helicotis			Koken and Perner 1925
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Helicotis		rugifera	(Koken 1897)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Helicotis		rugifera	(Koken 1897)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella			Endo 1937
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella		circe	(Walcott 1905)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella		circe	(Walcott 1905)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella		circe	(Walcott 1905)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella		heritagensis	Webers et al. 1992
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kistasella			Missarzhevsky 1989
