orig_no	taxon_no	record_type	flags	taxon_rank	taxon_name	taxon_attr	difference	accepted_no	accepted_rank	accepted_name	parent_no	parent_name	immpar_no	immpar_name	reference_no	is_extant	n_occs	phylum	class	order	family	genus	type_taxon	primary_reference
58668	58668	txn	B	family	Onychochilidae	Koken and Perner 1925		58668	family	Onychochilidae	58672	Clisospiroidea			11503	extinct	66	Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Onychochilinae	E. Koken and J. Perner. 1925. Die Gastropoden des baltischen Untersilurs
58666	58666	txn		genus	Sinistriconcha	Heidelberger and Bandel 1999		58666	genus	Sinistriconcha	58668	Onychochilidae			11590	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Sinistriconcha		D. Heidelberger and K. Bandel. 1999. Micromorph Gastropoda from the Middle Devonian (Givetian) limestone of the Sötenich Syncline (Eifel). Mitteilungen Geologie-Paläontologie Institut der Universitat Hamburg 83:129-162
58659	58659	txn	V	species	Onychochilus minutissimus	(Yoo 1988)	recombined as	58659	species	Sinistriconcha minutissimus	58666	Sinistriconcha			11425	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Sinistriconcha		E. K. Yoo. 1988. Early Carboniferous Mollusca from Gundy, Upper Hunter, New South Wales. Records of the Australian Museum 40(3):233-264
58659	58667	txn	V	species	Sinistriconcha minutissima	(Yoo 1988)	recombined as	58659	species	Sinistriconcha minutissimus	58666	Sinistriconcha			11425	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Sinistriconcha		E. K. Yoo. 1988. Early Carboniferous Mollusca from Gundy, Upper Hunter, New South Wales. Records of the Australian Museum 40(3):233-264
58659	77456	txn		species	Sinistriconcha minutissimus	(Yoo 1988)		58659	species	Sinistriconcha minutissimus	58666	Sinistriconcha			11425	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Sinistriconcha		E. K. Yoo. 1988. Early Carboniferous Mollusca from Gundy, Upper Hunter, New South Wales. Records of the Australian Museum 40(3):233-264
76110	76110	txn		species	Sinistriconcha lierli	Heidelberger and Bandel 1999		76110	species	Sinistriconcha lierli	58666	Sinistriconcha			11590	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Sinistriconcha		D. Heidelberger and K. Bandel. 1999. Micromorph Gastropoda from the Middle Devonian (Givetian) limestone of the Sötenich Syncline (Eifel). Mitteilungen Geologie-Paläontologie Institut der Universitat Hamburg 83:129-162
70928	70928	txn		subfamily	Scaevogyrinae	Wenz 1938		70928	subfamily	Scaevogyrinae	58668	Onychochilidae			7435	extinct	11	Mollusca	Paragastropoda	Mimospirida	Onychochilidae			W. Wenz. 1938. Handbuch der Paläozoologie; Gastropoda. Handbuch der Paläozoologie
8301	8301	txn		genus	Versispira	Perner 1903		8301	genus	Versispira	70928	Scaevogyrinae			16258	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Versispira		J. Perner. 1911. Gastéropodes, Tome 3
378422	378422	txn		species	Versispira contraria	(Perner 1903)		378422	species	Versispira contraria	8301	Versispira			12085	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Versispira		J. Perner. 1903. Gastéropodes, Tome 1: Patellidae et Bellerophontidae
378422	378423	txn	V	species	Scaevogyra (Versispira) contraria	(Perner 1903)	recombined as	378422	species	Versispira contraria	8301	Versispira			12085	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Versispira		J. Perner. 1903. Gastéropodes, Tome 1: Patellidae et Bellerophontidae
8296	8296	txn		genus	Scaevogyra	Whitfield 1878		8296	genus	Scaevogyra	70928	Scaevogyrinae			16447	extinct	8	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		R. P. Whitfield. 1878. Preliminary descriptions of new species of fossils from the lower geological formations of Wisconsin. Annual Report of the Wisconsin Geological Survey for 1877:50-89
331058	331058	txn		subgenus	Scaevogyra (Versispira)	(Perner 1903)		331058	subgenus	Scaevogyra (Versispira)	8296	Scaevogyra			16258	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		J. Perner. 1911. Gastéropodes, Tome 3
76059	76059	txn		species	Scaevogyra elevata	Whitfield 1878		76059	species	Scaevogyra elevata	8296	Scaevogyra			16447	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		R. P. Whitfield. 1878. Preliminary descriptions of new species of fossils from the lower geological formations of Wisconsin. Annual Report of the Wisconsin Geological Survey for 1877:50-89
76063	76063	txn		species	Scaevogyra ulrichi	(Kobayashi 1933)		76063	species	Scaevogyra ulrichi	8296	Scaevogyra			10633	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		T Kobayashi. 1933. Faunal study of the Wanwanian (basal Ordovician) series with special notes on the Ribeiridae and the Ellesmereoceroids. Journal of the Faculty of Science Imperial University of Tokyo Section II Geology, Mineralogy, Geography, Seismology 3(7):249-328
76063	307414	txn	V	species	Maclurites ulrichi	(Kobayashi 1933)	recombined as	76063	species	Scaevogyra ulrichi	8296	Scaevogyra			10633	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		T Kobayashi. 1933. Faunal study of the Wanwanian (basal Ordovician) series with special notes on the Ribeiridae and the Ellesmereoceroids. Journal of the Faculty of Science Imperial University of Tokyo Section II Geology, Mineralogy, Geography, Seismology 3(7):249-328
76061	76061	txn		species	Scaevogyra obliqua	Whitfield 1878		76061	species	Scaevogyra obliqua	8296	Scaevogyra			16447	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		R. P. Whitfield. 1878. Preliminary descriptions of new species of fossils from the lower geological formations of Wisconsin. Annual Report of the Wisconsin Geological Survey for 1877:50-89
76062	76062	txn		species	Scaevogyra swezeyi	Whitfield 1878		76062	species	Scaevogyra swezeyi	8296	Scaevogyra			16447	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		R. P. Whitfield. 1878. Preliminary descriptions of new species of fossils from the lower geological formations of Wisconsin. Annual Report of the Wisconsin Geological Survey for 1877:50-89
295224	295224	txn		species	Scaevogyra minnesotensis	Berkey 1898	subjective synonym of	76062	species	Scaevogyra swezeyi	8296	Scaevogyra			15750	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		C.P. Berkey. 1898. Geology of the St. Croix Dalles, part 3. Paleontology. American Geologist 21:270-294
74468	74468	txn	V	species	Maclurites thompsoni	(Webers et al. 1992)	recombined as	74468	species	Scaevogyra thompsoni	8296	Scaevogyra			16420	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		G. F. Webers, J. Pojeta, and EL Yochelson. 1992. Cambrian Mollusca from the Minaret Formation, Ellsworth Mountains, West Antarctica. Geological Society of America Memoir 170:181-248
74468	78820	txn		species	Scaevogyra thompsoni	(Webers et al. 1992)		74468	species	Scaevogyra thompsoni	8296	Scaevogyra			16420	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		G. F. Webers, J. Pojeta, and EL Yochelson. 1992. Cambrian Mollusca from the Minaret Formation, Ellsworth Mountains, West Antarctica. Geological Society of America Memoir 170:181-248
76060	76060	txn		species	Scaevogyra naticaformis	Kobayashi 1933		76060	species	Scaevogyra naticaformis	8296	Scaevogyra			10633	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Scaevogyra		T Kobayashi. 1933. Faunal study of the Wanwanian (basal Ordovician) series with special notes on the Ribeiridae and the Ellesmereoceroids. Journal of the Faculty of Science Imperial University of Tokyo Section II Geology, Mineralogy, Geography, Seismology 3(7):249-328
8283	8283	txn		genus	Laeogyra	Perner 1903		8283	genus	Laeogyra	58668	Onychochilidae			12085	extinct	7	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Laeogyra	Laeogyra bohemica	J. Perner. 1903. Gastéropodes, Tome 1: Patellidae et Bellerophontidae
74113	74113	txn		species	Laeogyra bohemica	Perner 1903		74113	species	Laeogyra bohemica	8283	Laeogyra			12085	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Laeogyra		J. Perner. 1903. Gastéropodes, Tome 1: Patellidae et Bellerophontidae
75258	75258	txn	V	species	Platyceras gracile	(Koken 1897)	recombined as	75258	species	Laeogyra gracilis	8283	Laeogyra			13884	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Laeogyra		E. Koken. 1897. Die Gastropoden des baltischen Untersilurs. Bulletin de l'Académie Impériale des Sciences de St. Pétersburg 7(2):97-214
75258	79318	txn		species	Laeogyra gracilis	(Koken 1897)		75258	species	Laeogyra gracilis	8283	Laeogyra			13884	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Laeogyra		E. Koken. 1897. Die Gastropoden des baltischen Untersilurs. Bulletin de l'Académie Impériale des Sciences de St. Pétersburg 7(2):97-214
75258	79319	txn	V	species	Pervertina gracilis	(Koken 1897)	recombined as	75258	species	Laeogyra gracilis	8283	Laeogyra			13884	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Laeogyra		E. Koken. 1897. Die Gastropoden des baltischen Untersilurs. Bulletin de l'Académie Impériale des Sciences de St. Pétersburg 7(2):97-214
75258	331047	txn	V	species	Antispira gracilis	(Koken 1897)	recombined as	75258	species	Laeogyra gracilis	8283	Laeogyra			13884	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Laeogyra		E. Koken. 1897. Die Gastropoden des baltischen Untersilurs. Bulletin de l'Académie Impériale des Sciences de St. Pétersburg 7(2):97-214
74112	74112	txn		species	Laeogyra arvetensis	Wängberg-Eriksson 1979		74112	species	Laeogyra arvetensis	8283	Laeogyra			16412	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Laeogyra		K. Wängberg-Eriksson. 1979. Macluritacean gastropods from the Ordovician and Silurian of Sweden. Sveriges Geologiska Undersökning Serie C 758(72):1-33
8292	8292	txn		genus	Pervertina	Horný 1964	subjective synonym of	8283	genus	Laeogyra	58668	Onychochilidae			13145	extinct	7	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Laeogyra	Laeogyra gracilis	R. J. Horný. 1964. New Lower Paleozoic gastropod genera of Bohemia (Mollusca). asopis Národni Muzea - Oddíl pírodovdny 133:211-216
8297	8297	txn		genus	Sinistracirsa	Cossmann 1908		8297	genus	Sinistracirsa	58668	Onychochilidae			15830	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Sinistracirsa	Sinistracirsa altera	M. Cossmann. 1908. Revue critique de paléozoologie 12:1
72308	72308	txn		genus	Donaldia	Perner 1903	replaced by	8297	genus	Sinistracirsa	58668	Onychochilidae			12085	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Sinistracirsa		J. Perner. 1903. Gastéropodes, Tome 1: Patellidae et Bellerophontidae
73413	73413	txn	V	species	Donaldia altera	(Perner 1903)	recombined as	73413	species	Sinistracirsa altera	8297	Sinistracirsa			12085	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Sinistracirsa		J. Perner. 1903. Gastéropodes, Tome 1: Patellidae et Bellerophontidae
73413	78259	txn		species	Sinistracirsa altera	(Perner 1903)		73413	species	Sinistracirsa altera	8297	Sinistracirsa			12085	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Sinistracirsa		J. Perner. 1903. Gastéropodes, Tome 1: Patellidae et Bellerophontidae
71187	71187	txn		subfamily	Hyperstropheminae	Horný 1964		71187	subfamily	Hyperstropheminae	58668	Onychochilidae			13145	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Hyperstrophema	R. J. Horný. 1964. New Lower Paleozoic gastropod genera of Bohemia (Mollusca). asopis Národni Muzea - Oddíl pírodovdny 133:211-216
8279	8279	txn		genus	Hyperstrophema	Horný 1964		8279	genus	Hyperstrophema	71187	Hyperstropheminae			13145	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Hyperstrophema		R. J. Horný. 1964. New Lower Paleozoic gastropod genera of Bohemia (Mollusca). asopis Národni Muzea - Oddíl pírodovdny 133:211-216
74035	74035	txn		species	Hyperstrophema devonicans	Horný 1964		74035	species	Hyperstrophema devonicans	8279	Hyperstrophema			13145	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Hyperstrophema		R. J. Horný. 1964. New Lower Paleozoic gastropod genera of Bohemia (Mollusca). asopis Národni Muzea - Oddíl pírodovdny 133:211-216
431523	431523	txn		subfamily	Catalanispirinae	Ebbestad et al. 2021		431523	subfamily	Catalanispirinae	58668	Onychochilidae			75015	extinct	5	Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Catalanispira	J. O. R. Ebbestad, D. R. Kolata, and M. Isakar. 2021. New onychochilid mollusks from the Middle and Upper Ordovician of Baltica and Laurentia. Journal of Paleontology 95(1):106-122
431524	431524	txn		genus	Catalanispira	Ebbestad et al. 2021		431524	genus	Catalanispira	431523	Catalanispirinae			75015	extinct	4	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Catalanispira	Catalanispira plattevillensis	J. O. R. Ebbestad, D. R. Kolata, and M. Isakar. 2021. New onychochilid mollusks from the Middle and Upper Ordovician of Baltica and Laurentia. Journal of Paleontology 95(1):106-122
431525	431525	txn		species	Catalanispira plattevillensis	Ebbestad et al. 2021		431525	species	Catalanispira plattevillensis	431524	Catalanispira			75015	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Catalanispira		J. O. R. Ebbestad, D. R. Kolata, and M. Isakar. 2021. New onychochilid mollusks from the Middle and Upper Ordovician of Baltica and Laurentia. Journal of Paleontology 95(1):106-122
73032	73032	txn	V	species	Clisospira reinwaldti	(Öpik 1930)	recombined as	73032	species	Catalanispira reinwaldti	431524	Catalanispira			16224	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Catalanispira		A. A. Öpik. 1930. Beiträge zur Kenntnis der Kukruse-(C2-C3-) Stufe in Eesti, IV. Acta et Commentationes Universitatis Tartuensis (Dorpatensis) A 19(2):1-34
73032	77998	txn	V	species	Mimospira reinwaldti	(Öpik 1930)	recombined as	73032	species	Catalanispira reinwaldti	431524	Catalanispira			16224	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Catalanispira		A. A. Öpik. 1930. Beiträge zur Kenntnis der Kukruse-(C2-C3-) Stufe in Eesti, IV. Acta et Commentationes Universitatis Tartuensis (Dorpatensis) A 19(2):1-34
73032	77999	txn	V	species	Laeogyra reinwaldti	(Öpik 1930)	recombined as	73032	species	Catalanispira reinwaldti	431524	Catalanispira			16224	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Catalanispira		A. A. Öpik. 1930. Beiträge zur Kenntnis der Kukruse-(C2-C3-) Stufe in Eesti, IV. Acta et Commentationes Universitatis Tartuensis (Dorpatensis) A 19(2):1-34
73032	431529	txn		species	Catalanispira reinwaldti	(Öpik 1930)		73032	species	Catalanispira reinwaldti	431524	Catalanispira			16224	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Catalanispira		A. A. Öpik. 1930. Beiträge zur Kenntnis der Kukruse-(C2-C3-) Stufe in Eesti, IV. Acta et Commentationes Universitatis Tartuensis (Dorpatensis) A 19(2):1-34
330495	330495	txn		genus	Pelecyogyra	Ebbestad and Lefebvre 2015		330495	genus	Pelecyogyra	431523	Catalanispirinae			56733	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Pelecyogyra	Pelecyogyra fezouataensis	J. O. R. Ebbestad and B. Lefebvre. 2015. An unusual onychochilid mollusc from the Ordovician (Tremadocian) Fezouata Formation, Morocco. Geobios 48(6):427-438
330496	330496	txn		species	Pelecyogyra fezouataensis	Ebbestad and Lefebvre 2015		330496	species	Pelecyogyra fezouataensis	330495	Pelecyogyra			56733	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Pelecyogyra		J. O. R. Ebbestad and B. Lefebvre. 2015. An unusual onychochilid mollusc from the Ordovician (Tremadocian) Fezouata Formation, Morocco. Geobios 48(6):427-438
8303	8303	txn		genus	Yuwenia	Runnegar 1981		8303	genus	Yuwenia	58668	Onychochilidae			16308	extinct	4	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Yuwenia		B. Runnegar. 1981. Muscle scars, shell form and torsion in Cambrian and Ordovician univalved molluscs. Lethaia 14(5-6):311-322
74087	74087	txn	V	species	Kistasella spiralis	(Missarzhevsky 1989)	recombined as	74087	species	Yuwenia spiralis	8303	Yuwenia			13563	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Yuwenia		P. Yu. Parkhaev. 2002. Phylogenesis and the systematics of the Cambrian univalved mollusks. Paleontological Journal 35(1):27-39
74087	78640	txn		species	Yuwenia spiralis	(Missarzhevsky 1989)		74087	species	Yuwenia spiralis	8303	Yuwenia			13563	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Yuwenia		P. Yu. Parkhaev. 2002. Phylogenesis and the systematics of the Cambrian univalved mollusks. Paleontological Journal 35(1):27-39
76740	76740	txn		species	Yuwenia bentleyi	Runnegar 1981		76740	species	Yuwenia bentleyi	8303	Yuwenia			16308	extinct	4	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Yuwenia		B. Runnegar. 1981. Muscle scars, shell form and torsion in Cambrian and Ordovician univalved molluscs. Lethaia 14(5-6):311-322
65623	65623	txn		species	Yuwenia juliana	Elicki 1994	subjective synonym of	76740	species	Yuwenia bentleyi	8303	Yuwenia			13333	extinct	4	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Yuwenia		O. Elicki. 1994. Lower Cambrian carbonates from eastern Germany:palaeontology, stratigraphy and palaeogeography. Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen 191(1):69-93
